! MS46522B
! 1629104/M1: 82820001
! 9/7/2022 4:16:36 PM
! D:\MESURE_MONTURE_07092022\LIGNE_35MM_4ROGERS.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# GHZ S RI R 50.0
! FREQ.GHZ         S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
   0.001580966     0.0001823    0.0014381     1.0012800   -0.0024171     0.9987149   -0.0023344    -0.0000283    0.0017697 
   0.001590782     0.0001842    0.0014322     1.0013310   -0.0024513     0.9987152   -0.0023381     0.0000011    0.0017664 
   0.001600659     0.0001755    0.0014556     1.0013040   -0.0023445     0.9987107   -0.0024185    -0.0000093    0.0017787 
   0.001610598     0.0001521    0.0014842     1.0012460   -0.0025504     0.9987347   -0.0025207    -0.0000333    0.0017766 
   0.001620598     0.0001719    0.0014675     1.0012120   -0.0026082     0.9987440   -0.0023716    -0.0000217    0.0017901 
   0.001630660     0.0001841    0.0014930     1.0012790   -0.0025345     0.9986052   -0.0023842    -0.0000757    0.0017968 
   0.001640784     0.0001830    0.0015179     1.0013490   -0.0025292     0.9987046   -0.0024412    -0.0000477    0.0018435 
   0.001650972     0.0001614    0.0015076     1.0012860   -0.0026533     0.9987961   -0.0024348    -0.0000375    0.0018256 
   0.001661222     0.0001703    0.0015354     1.0013380   -0.0026383     0.9987403   -0.0024640    -0.0000502    0.0018620 
   0.001671537     0.0001730    0.0015366     1.0012640   -0.0025388     0.9987627   -0.0024406    -0.0000131    0.0018444 
   0.001681915     0.0001754    0.0015483     1.0012870   -0.0026048     0.9986909   -0.0024495    -0.0000294    0.0018739 
   0.001692358     0.0001965    0.0015745     1.0013230   -0.0025783     0.9987156   -0.0024484    -0.0000195    0.0018897 
   0.001702866     0.0001857    0.0015869     1.0013130   -0.0026459     0.9986923   -0.0024968    -0.0000281    0.0018894 
   0.001713438     0.0001689    0.0015954     1.0012460   -0.0026616     0.9986666   -0.0025092    -0.0000385    0.0018800 
   0.001724077     0.0001801    0.0016171     1.0012730   -0.0026369     0.9987065   -0.0025924    -0.0000144    0.0018939 
   0.001734782     0.0001782    0.0016226     1.0012890   -0.0026539     0.9986770   -0.0026102    -0.0000245    0.0019043 
   0.001745553     0.0001795    0.0016274     1.0011890   -0.0026432     0.9988174   -0.0025598    -0.0000274    0.0019090 
   0.001756391     0.0001775    0.0016496     1.0012710   -0.0027918     0.9987120   -0.0026509    -0.0000370    0.0019143 
