! MS46522B
! 1629104/M1: 82820001
! 9/7/2022 4:41:57 PM
! D:\MESURE_MONTURE_07092022\LIGNE_25MM_VIDE.S2P
! CHANNEL.1
! TR.MEASUREMENT
! CORRECTED.DATA
# GHZ S RI R 50.0
! FREQ.GHZ         S11RE         S11IM         S21RE         S21IM         S12RE         S12IM         S22RE         S22IM         
!; PortSelection: Port_12
   0.001630660    -0.0000186    0.0009883     1.0009610   -0.0016779     0.9988850   -0.0013607    -0.0002570    0.0012598 
   0.001640784    -0.0000055    0.0009852     1.0009450   -0.0017211     0.9989373   -0.0014528    -0.0002464    0.0012862 
   0.001650972    -0.0000085    0.0009947     1.0008920   -0.0017280     0.9990484   -0.0014419    -0.0002324    0.0012783 
   0.001661222    -0.0000338    0.0010253     1.0009830   -0.0016838     0.9989702   -0.0014543    -0.0002232    0.0012852 
   0.001671537    -0.0000181    0.0010318     1.0010090   -0.0017128     0.9989876   -0.0013530    -0.0002022    0.0012998 
   0.001681915    -0.0000032    0.0010397     1.0010100   -0.0017364     0.9989471   -0.0014906    -0.0002239    0.0013093 
   0.001692358    -0.0000128    0.0010583     1.0009940   -0.0016816     0.9989696   -0.0015402    -0.0002124    0.0013188 
   0.001702866     0.0000081    0.0010652     1.0009560   -0.0017639     0.9989492   -0.0014893    -0.0002084    0.0013361 
   0.001713438    -0.0000028    0.0010825     1.0009630   -0.0018203     0.9989223   -0.0015020    -0.0002303    0.0013250 
   0.001724077    -0.0000008    0.0010780     1.0010240   -0.0017801     0.9989170   -0.0015376    -0.0002107    0.0013506 
   0.001734782    -0.0000027    0.0010929     1.0009940   -0.0018164     0.9989126   -0.0015172    -0.0002159    0.0013481 
   0.001745553    -0.0000017    0.0010935     1.0009180   -0.0017133     0.9989854   -0.0015274    -0.0002058    0.0013417 
   0.001756391    -0.0000116    0.0011281     1.0009480   -0.0017857     0.9989232   -0.0015372    -0.0002165    0.0013671 
   0.001767296    -0.0000092    0.0011228     1.0009520   -0.0017311     0.9989001   -0.0015184    -0.0002043    0.0013603 
   0.001778269     0.0000016    0.0011349     1.0010440   -0.0018471     0.9989170   -0.0015290    -0.0002094    0.0013738 
   0.001789310    -0.0000429    0.0011403     1.0009580   -0.0019135     0.9990432   -0.0015680    -0.0002091    0.0013593 
   0.001800419     0.0000028    0.0011672     1.0008700   -0.0018866     0.9990098   -0.0015928    -0.0002126    0.0013959 
   0.001811598     0.0000000    0.0011601     1.0010250   -0.0018419     0.9989235   -0.0016376    -0.0002171    0.0013950 
   0.001822846    -0.0000143    0.0011671     1.0009150   -0.0019151     0.9989479   -0.0016841    -0.0002244    0.0013924 
   0.001834164    -0.0000391    0.0011751     1.0010040   -0.0018606     0.9988879   -0.0016666    -0.0002292    0.0014077 
   0.001845552    -0.0000336    0.0011942     1.0009150   -0.0019289     0.9988967   -0.0016467    -0.0002534    0.0014249 
   0.001857011    -0.0000114    0.0012034     1.0010160   -0.0019207     0.9989589   -0.0017485    -0.0002458    0.0014267 
   0.001868541    -0.0000194    0.0012385     1.0009560   -0.0018834     0.9989717   -0.0016793    -0.0002574    0.0014528 
